"Variable","Importance","StDev","Model"
"NDVI_whittaker_constant_monthly_mean",13.5647000197128,0.311276405454637,"GBM"
"tmean_terraclimate_sites",10.947378991299,0.27214588264686,"GBM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",1.82589092670686,0.108647979098111,"GBM"
"Snow.cover_era5_soilmoist_temp_snow",1.00009857053367,0.0649931025380693,"GBM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",0.835109580113075,0.0519068946878427,"GBM"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0.209625256404847,0.0196123959776738,"GBM"
"Snow.depth_era5_soilmoist_temp_snow",0.102155444500873,0.00990357377254365,"GBM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",0.0876614032709898,0.0086224734826863,"GBM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",0.0522961883855816,0.00781692837376429,"GBM"
"srad_terraclimate_sites",0,0,"GBM"
"pr_terraclimate_sites",0,0,"GBM"
"pdsi_terraclimate_sites",0,0,"GBM"
"trend_20yrprior_terra_change_id",0,0,"GBM"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",0,0,"GBM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0,0,"GBM"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"GBM"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"GBM"
"SoilGrids_SOC_SoilGrids_SOCstock",0,0,"GBM"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",0,0,"GBM"
"Number_of_days_since_fire_classes_MCD64A1_sites_cleaned",0,0,"GBM"
"Thermokarst",0,0,"GBM"
"tmean_terraclimate_sites",21.1907737030377,0.328346228863488,"RF"
"NDVI_whittaker_constant_monthly_mean",14.0323584232822,0.29401489024156,"RF"
"Snow.cover_era5_soilmoist_temp_snow",12.4239702562285,0.456315769625273,"RF"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",9.25918396839306,0.327937319443658,"RF"
