"Overall","Variable2","Importance"
41.7569407371975,"Aboveground biomass",41.7569407371975
36.2358087552465,"Monthly air temperature",36.2358087552465
33.0250593302525,"Vegetation type",33.0250593302525
26.3221168509392,"Soil organic carbon stock",26.3221168509392
25.5862117771379,"Solar radiation",25.5862117771379
24.6571876137364,"Volumetric soil water",24.6571876137364
23.0804734315747,"Compound topographic index",23.0804734315747
22.9560296342144,"Mean annual air temperature over 1961-1990",22.9560296342144
22.5417623702939,"NDVI",22.5417623702939
21.2147879772987,"Annual mean air temperature trend over 1961-1990",21.2147879772987
21.09818627864,"Permafrost probability",21.09818627864
19.9839253132881,"Belowground biomass",19.9839253132881
19.7538278181745,"Mean annual precipitation over 1961-1990",19.7538278181745
19.5802084861029,"Soil temperature",19.5802084861029
19.2604080641081,"Vapor pressure deficit",19.2604080641081
19.0786597937392,"Soil pH",19.0786597937392
18.7965831219487,"Atmospheric CO2",18.7965831219487
16.914540990743,"June-August mean NDVI trend over 1982-2010",16.914540990743
16.5574781103395,"Percent tree cover",16.5574781103395
15.9943906710891,"Soil bulk density",15.9943906710891
15.2990781560977,"Vegetation age",15.2990781560977
14.9131933472774,"Percent non-tree vegetation",14.9131933472774
14.4545981845799,"Topographic roughness scale",14.4545981845799
12.8211026921218,"Rolling last 20-year air temperature trend",12.8211026921218
12.5054439504169,"Precipitation",12.5054439504169
11.584071864168,"Soil water content",11.584071864168
11.5547861948221,"Snow cover",11.5547861948221
8.53925598933125,"Snow depth",8.53925598933125
7.71893708166365,"Hillslope thermokarst",7.71893708166365
7.50366914723088,"Wetland thermokarst",7.50366914723088
6.70754386265579,"Percent non-vegetated",6.70754386265579
5.76845378465238,"PDSI",5.76845378465238
