"Overall","Variable2","Importance"
46.1062905743767,"Solar radiation",46.1062905743767
44.9308177632116,"Vegetation type",44.9308177632116
39.8143325549742,"NDVI",39.8143325549742
36.4474480076291,"Atmospheric CO2",36.4474480076291
31.1619557883436,"Soil organic carbon stock",31.1619557883436
30.4417900428094,"June-August average NDWI",30.4417900428094
30.2843446974139,"Topographic roughness scale",30.2843446974139
29.8752485232845,"Land surface temperature (daytime)",29.8752485232845
29.1109886359637,"Aboveground biomass",29.1109886359637
28.6004018232399,"Mean annual air temperature over 1961-1990",28.6004018232399
25.6008731677452,"Volumetric soil water",25.6008731677452
25.4616036433817,"Soil temperature",25.4616036433817
24.1975312338649,"Snow cover",24.1975312338649
23.2598358655328,"Vegetation age",23.2598358655328
22.1036162072377,"Soil pH",22.1036162072377
22.0783186269203,"Percent tree cover",22.0783186269203
22.0652788486065,"June-August mean NDVI trend over 1982-2010",22.0652788486065
21.6649093981949,"Soil water content",21.6649093981949
21.1431737170864,"Belowground biomass",21.1431737170864
20.9663687576881,"Compound topographic index",20.9663687576881
20.5067848230213,"Vapor pressure deficit",20.5067848230213
20.4191819797989,"Rolling last 20-year air temperature trend",20.4191819797989
20.3166694945331,"Percent non-tree vegetation",20.3166694945331
19.9968884613156,"Soil bulk density",19.9968884613156
19.3983343630502,"Annual mean air temperature trend over 1961-1990",19.3983343630502
18.7396038727437,"Snow depth",18.7396038727437
17.8178344396162,"Mean annual precipitation over 1961-1990",17.8178344396162
17.146995142814,"Permafrost probability",17.146995142814
16.0347770906102,"Precipitation",16.0347770906102
14.8846688850734,"June-August average NDII",14.8846688850734
13.1158380537858,"PDSI",13.1158380537858
13.0449956288396,"Percent non-vegetated",13.0449956288396
12.5624965937341,"Hillslope thermokarst",12.5624965937341
8.75999896159635,"Wetland thermokarst",8.75999896159635
