"Overall","Variable2","Importance"
50.7387564937217,"Aboveground biomass",50.7387564937217
36.232443889226,"Monthly air temperature",36.232443889226
29.8867553783576,"Solar radiation",29.8867553783576
26.1153069287795,"Soil organic carbon stock",26.1153069287795
25.5381046087543,"Mean annual air temperature over 1961-1990",25.5381046087543
23.9562011993896,"Soil pH",23.9562011993896
23.3967051601569,"NDVI",23.3967051601569
23.27285912345,"Mean annual precipitation over 1961-1990",23.27285912345
23.1572024164594,"Volumetric soil water",23.1572024164594
21.6060550670721,"June-August mean NDVI trend over 1982-2010",21.6060550670721
21.2127180545594,"Belowground biomass",21.2127180545594
20.9604094655631,"Compound topographic index",20.9604094655631
20.4965296136085,"Soil temperature",20.4965296136085
20.3219116318922,"Annual mean air temperature trend over 1961-1990",20.3219116318922
18.1137431128026,"Atmospheric CO2",18.1137431128026
17.6761962432624,"Vapor pressure deficit",17.6761962432624
17.668298178694,"Soil bulk density",17.668298178694
16.6470424642728,"Permafrost probability",16.6470424642728
15.593868987184,"Percent non-tree vegetation",15.593868987184
14.6988442386075,"Topographic roughness scale",14.6988442386075
13.9959718691925,"Percent tree cover",13.9959718691925
13.2671942602334,"Rolling last 20-year air temperature trend",13.2671942602334
12.9660661366773,"Precipitation",12.9660661366773
12.8101888418747,"Vegetation age",12.8101888418747
12.1366144619024,"Soil water content",12.1366144619024
11.7812651046542,"Snow cover",11.7812651046542
8.91229207496098,"Wetland thermokarst",8.91229207496098
8.84123614684363,"Percent non-vegetated",8.84123614684363
8.76493580263953,"Hillslope thermokarst",8.76493580263953
8.1850698070909,"Snow depth",8.1850698070909
6.5254471011747,"PDSI",6.5254471011747
