"Overall","Variable2","Importance"
33.6000297683946,"Soil organic carbon stock",33.6000297683946
32.4781841193391,"NDVI",32.4781841193391
31.3788035768577,"Soil temperature",31.3788035768577
26.7343521020899,"Vegetation type",26.7343521020899
26.2053350507623,"Land surface temperature (daytime)",26.2053350507623
22.7024988002511,"Percent tree cover",22.7024988002511
21.5951817727006,"Annual mean air temperature trend over 1961-1990",21.5951817727006
20.715549700285,"Volumetric soil water",20.715549700285
20.6881714183625,"Compound topographic index",20.6881714183625
20.6675491815289,"Vapor pressure deficit",20.6675491815289
19.0723305250184,"Rolling last 20-year air temperature trend",19.0723305250184
19.0151073479788,"Soil pH",19.0151073479788
18.1438853485083,"Belowground biomass",18.1438853485083
16.5230434180708,"Permafrost probability",16.5230434180708
16.5081244865242,"Mean annual precipitation over 1961-1990",16.5081244865242
16.4594435836074,"Vegetation age",16.4594435836074
16.3518984367235,"Atmospheric CO2",16.3518984367235
15.6958443872384,"Percent non-tree vegetation",15.6958443872384
15.677934109221,"Aboveground biomass",15.677934109221
14.8129413241178,"Mean annual air temperature over 1961-1990",14.8129413241178
14.6781957498763,"Snow cover",14.6781957498763
14.566371267286,"June-August average NDWI",14.566371267286
14.4184834790861,"June-August mean NDVI trend over 1982-2010",14.4184834790861
13.7269797522134,"Soil bulk density",13.7269797522134
13.561622484693,"Topographic roughness scale",13.561622484693
13.2930329516011,"Soil water content",13.2930329516011
12.5382561032511,"PDSI",12.5382561032511
11.5918796717672,"Percent non-vegetated",11.5918796717672
11.5868960323293,"June-August average NDII",11.5868960323293
11.0855477802713,"Precipitation",11.0855477802713
8.79732552682879,"Hillslope thermokarst",8.79732552682879
8.46827764396835,"Snow depth",8.46827764396835
7.5011074747617,"Wetland thermokarst",7.5011074747617
