"Overall","Variable2","Importance"
44.6085340927319,"Atmospheric CO2",44.6085340927319
43.2770339798647,"Vegetation type",43.2770339798647
39.9181053479744,"NDVI",39.9181053479744
38.0338384497478,"Land surface temperature (daytime)",38.0338384497478
33.5473261915282,"Vapor pressure deficit",33.5473261915282
31.4680405928841,"Aboveground biomass",31.4680405928841
30.3924878093059,"Topographic roughness scale",30.3924878093059
28.6557464830202,"June-August average NDWI",28.6557464830202
27.2048505376362,"Volumetric soil water",27.2048505376362
27.1083834921068,"Soil organic carbon stock",27.1083834921068
26.6497039783841,"Mean annual air temperature over 1961-1990",26.6497039783841
23.4268348144599,"Soil temperature",23.4268348144599
23.2164752340295,"Belowground biomass",23.2164752340295
23.1525490976867,"Snow depth",23.1525490976867
22.4765802490482,"Percent non-tree vegetation",22.4765802490482
22.431260812972,"Rolling last 20-year air temperature trend",22.431260812972
22.1827912991959,"Percent tree cover",22.1827912991959
22.0457761667787,"Compound topographic index",22.0457761667787
21.9360507569649,"Vegetation age",21.9360507569649
21.6759584172513,"Annual mean air temperature trend over 1961-1990",21.6759584172513
21.5323531820836,"Soil pH",21.5323531820836
21.012849858942,"Soil water content",21.012849858942
20.8442391154162,"Soil bulk density",20.8442391154162
20.8190552275609,"Snow cover",20.8190552275609
19.0861406242549,"June-August mean NDVI trend over 1982-2010",19.0861406242549
18.7868856489205,"Precipitation",18.7868856489205
17.601294909659,"Mean annual precipitation over 1961-1990",17.601294909659
16.5498119706071,"June-August average NDII",16.5498119706071
15.4465103254561,"Permafrost probability",15.4465103254561
15.3419255205525,"Percent non-vegetated",15.3419255205525
14.8825122686024,"PDSI",14.8825122686024
14.0159634538923,"Wetland thermokarst",14.0159634538923
13.0975440835579,"Hillslope thermokarst",13.0975440835579
