"Overall","Variable2","Importance"
50.4319181203555,"Aboveground biomass",50.4319181203555
29.0645225268895,"Soil temperature",29.0645225268895
23.7813597124804,"Monthly air temperature",23.7813597124804
23.5011248754887,"Permafrost probability",23.5011248754887
22.759589154307,"Volumetric soil water",22.759589154307
21.9464813923523,"Soil organic carbon stock",21.9464813923523
20.2332440082214,"Soil pH",20.2332440082214
19.6037989155535,"Mean annual precipitation over 1961-1990",19.6037989155535
18.3252971713745,"Rolling last 20-year air temperature trend",18.3252971713745
17.8084354419816,"Belowground biomass",17.8084354419816
16.9156195966736,"June-August mean NDVI trend over 1982-2010",16.9156195966736
16.7460010458111,"Soil bulk density",16.7460010458111
16.5203836039,"NDVI",16.5203836039
16.3368840466851,"Vapor pressure deficit",16.3368840466851
16.2374609257692,"Mean annual air temperature over 1961-1990",16.2374609257692
15.9834118872959,"Compound topographic index",15.9834118872959
15.9051813137762,"Topographic roughness scale",15.9051813137762
15.6885886363629,"Solar radiation",15.6885886363629
14.5442850748649,"Precipitation",14.5442850748649
14.5257723236076,"Atmospheric CO2",14.5257723236076
14.5119720105797,"Annual mean air temperature trend over 1961-1990",14.5119720105797
14.4888451600408,"Percent tree cover",14.4888451600408
12.6750970575535,"Snow cover",12.6750970575535
11.7362071814172,"Vegetation age",11.7362071814172
11.561204634108,"Percent non-tree vegetation",11.561204634108
11.3054979463424,"Percent non-vegetated",11.3054979463424
11.0230874786904,"Hillslope thermokarst",11.0230874786904
9.86410905620003,"Soil water content",9.86410905620003
8.94934016869958,"Snow depth",8.94934016869958
8.36533077831493,"PDSI",8.36533077831493
6.47713491490116,"Wetland thermokarst",6.47713491490116
