"Overall","Variable2","Importance"
36.7922655987491,"Vegetation type",36.7922655987491
32.9711403140678,"Soil temperature",32.9711403140678
26.9325218641918,"NDVI",26.9325218641918
23.3629592142024,"Aboveground biomass",23.3629592142024
21.7213658508375,"Percent tree cover",21.7213658508375
20.2349799691453,"Soil organic carbon stock",20.2349799691453
19.9694975703946,"Permafrost probability",19.9694975703946
19.4433889899687,"Belowground biomass",19.4433889899687
19.1981485988284,"Land surface temperature (daytime)",19.1981485988284
17.9968965593513,"Volumetric soil water",17.9968965593513
17.9565006071441,"Mean annual precipitation over 1961-1990",17.9565006071441
17.6839798145961,"Rolling last 20-year air temperature trend",17.6839798145961
17.4250429427715,"Atmospheric CO2",17.4250429427715
17.3068974632835,"Snow cover",17.3068974632835
16.3849892692481,"Percent non-tree vegetation",16.3849892692481
16.2378150260272,"Annual mean air temperature trend over 1961-1990",16.2378150260272
16.2248468324421,"Soil bulk density",16.2248468324421
15.8155040665517,"Soil pH",15.8155040665517
15.6559428018675,"Precipitation",15.6559428018675
15.2083391523908,"Topographic roughness scale",15.2083391523908
15.1491182234177,"June-August average NDII",15.1491182234177
14.8863067338016,"Compound topographic index",14.8863067338016
14.8175573866479,"June-August average NDWI",14.8175573866479
13.796819227702,"Hillslope thermokarst",13.796819227702
13.4966885857222,"Vapor pressure deficit",13.4966885857222
12.7415539552794,"Soil water content",12.7415539552794
12.2720809795691,"Mean annual air temperature over 1961-1990",12.2720809795691
12.1858815420445,"Vegetation age",12.1858815420445
12.1327300884009,"June-August mean NDVI trend over 1982-2010",12.1327300884009
11.3158920421362,"Snow depth",11.3158920421362
9.97921215601383,"Percent non-vegetated",9.97921215601383
9.38263467761105,"PDSI",9.38263467761105
7.33079240082582,"Wetland thermokarst",7.33079240082582
