"Overall","Variable2","Importance"
30.3912221486205,"Solar radiation",30.3912221486205
26.3095892026634,"Atmospheric CO2",26.3095892026634
24.8047393095768,"Mean annual precipitation over 1961-1990",24.8047393095768
24.5727668922067,"NDVI",24.5727668922067
24.2442715817536,"Belowground biomass",24.2442715817536
24.0877106684184,"Soil temperature",24.0877106684184
24.038246187351,"tmean_terraclimate_sites",24.038246187351
23.9154036571424,"Topographic roughness scale",23.9154036571424
23.898044024972,"Vapor pressure deficit",23.898044024972
23.322908408309,"Aboveground biomass",23.322908408309
23.2954370871171,"Vegetation type",23.2954370871171
23.1263346482028,"Compound topographic index",23.1263346482028
22.740599121433,"Soil pH",22.740599121433
22.7223508308682,"Annual mean air temperature trend over 1961-1990",22.7223508308682
22.6054950598554,"Volumetric soil water",22.6054950598554
22.4098320389532,"Soil organic carbon stock",22.4098320389532
22.040994325657,"Soil bulk density",22.040994325657
20.2698129861826,"Mean annual air temperature over 1961-1990",20.2698129861826
19.6088183844676,"June-August mean NDVI trend over 1982-2010",19.6088183844676
19.2824222995654,"Soil water content",19.2824222995654
17.685359482831,"Snow depth",17.685359482831
16.8852889851558,"Percent tree cover",16.8852889851558
16.8117997045231,"Permafrost probability",16.8117997045231
16.3556432914352,"Rolling last 20-year air temperature trend",16.3556432914352
16.335400511528,"Percent non-vegetated",16.335400511528
16.1036416397088,"Snow cover",16.1036416397088
15.6581503372606,"Precipitation",15.6581503372606
15.4962837145896,"Percent non-tree vegetation",15.4962837145896
15.1332670518477,"Vegetation age",15.1332670518477
14.848009070207,"PDSI",14.848009070207
13.3666301583396,"Wetland thermokarst",13.3666301583396
8.58768358269206,"Hillslope thermokarst",8.58768358269206
