"Variable","Importance","StDev","Model","Importance_max","Variable2"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0.286881654122094,0.0210821610255457,"GBM",2.55719219882679,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0,0,"SVM",2.55719219882679,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",2.55719219882679,0.066000499754435,"RF",2.55719219882679,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"Barrow_CO2_conc_Barrow_CO2conc",0.481783701899606,0.0442551891568225,"GBM",2.63601818845288,"Barrow_CO2_conc_Barrow_CO2conc"
"Barrow_CO2_conc_Barrow_CO2conc",2.63601818845288,0.12151260984613,"RF",2.63601818845288,"Barrow_CO2_conc_Barrow_CO2conc"
"Barrow_CO2_conc_Barrow_CO2conc",0,0,"SVM",2.63601818845288,"Barrow_CO2_conc_Barrow_CO2conc"
"belowground_biomass_carbon_2010_Above_belowground_biomass",1.02252601137714,0.0322076763911096,"RF",1.02252601137714,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0,0,"SVM",1.02252601137714,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.0196360507206577,0.00641542088958005,"GBM",1.02252601137714,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"BLDFIE_M_sl1_250m_ll_SoilGrids",0.840481925280712,0.0422629009360012,"RF",0.840481925280712,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"BLDFIE_M_sl1_250m_ll_SoilGrids",0,0,"SVM",0.840481925280712,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"BLDFIE_M_sl1_250m_ll_SoilGrids",0.0333048458026233,0.00932694906714466,"GBM",0.840481925280712,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",1.19033580775349,0.0425869727296083,"RF",1.19033580775349,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.177528642506863,0.021428418709429,"GBM",1.19033580775349,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"SVM",1.19033580775349,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.674746720815324,0.0664222554373089,"GBM",2.8610921241444,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",2.8610921241444,0.105994098290018,"RF",2.8610921241444,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"SVM",2.8610921241444,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",5.77496295305253,0.376616247707972,"GBM",6.26378204631177,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",3.69609789666472,0.248489521837794,"SVM",6.26378204631177,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",6.26378204631177,0.156652400405528,"RF",6.26378204631177,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
"forest_age_class_forest_age_sites",0.0905550228504417,0.00895908644830789,"GBM",0.798577551823502,"forest_age_class_forest_age_sites"
"forest_age_class_forest_age_sites",0,0,"SVM",0.798577551823502,"forest_age_class_forest_age_sites"
"forest_age_class_forest_age_sites",0.798577551823502,0.0358972095125256,"RF",0.798577551823502,"forest_age_class_forest_age_sites"
"ndvi_trend_19812010",0,0,"SVM",0.428394821088769,"ndvi_trend_19812010"
"ndvi_trend_19812010",0.428394821088769,0.0143482880593578,"RF",0.428394821088769,"ndvi_trend_19812010"
"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled",6.92124349120712,0.158856947644447,"RF",7.24811798247695,"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled"
"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled",7.24811798247695,0.256464026140743,"SVM",7.24811798247695,"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled"
"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled",1.0305730868369,0.0797469581388314,"GBM",7.24811798247695,"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled"
"Number_of_days_since_fire_classes_gfed_monthly_calc",0.431095699361299,0.0210172900855247,"RF",0.431095699361299,"Number_of_days_since_fire_classes_gfed_monthly_calc"
"Number_of_days_since_fire_classes_gfed_monthly_calc",0,0,"SVM",0.431095699361299,"Number_of_days_since_fire_classes_gfed_monthly_calc"
"pdsi_terraclimate_sites",0.161049619227591,0.0332391300365312,"GBM",1.69956259922978,"pdsi_terraclimate_sites"
"pdsi_terraclimate_sites",1.69956259922978,0.131132779211911,"RF",1.69956259922978,"pdsi_terraclimate_sites"
"pdsi_terraclimate_sites",0,0,"SVM",1.69956259922978,"pdsi_terraclimate_sites"
"Percent_NonTree_Vegetation_AVHRR_VCF5KYR",0,0,"SVM",0.652918097439955,"Percent_NonTree_Vegetation_AVHRR_VCF5KYR"
"Percent_NonTree_Vegetation_AVHRR_VCF5KYR",0.652918097439955,0.0147215383012085,"RF",0.652918097439955,"Percent_NonTree_Vegetation_AVHRR_VCF5KYR"
"Percent_NonVegetated_AVHRR_VCF5KYR",0,0,"SVM",0.0252026162746559,"Percent_NonVegetated_AVHRR_VCF5KYR"
"Percent_NonVegetated_AVHRR_VCF5KYR",0.0252026162746559,0.00699194837038478,"GBM",0.0252026162746559,"Percent_NonVegetated_AVHRR_VCF5KYR"
"Percent_TreeCover_AVHRR_VCF5KYR",0.0440437934505917,0.00731128699567751,"GBM",1.26813389363365,"Percent_TreeCover_AVHRR_VCF5KYR"
"Percent_TreeCover_AVHRR_VCF5KYR",0,0,"SVM",1.26813389363365,"Percent_TreeCover_AVHRR_VCF5KYR"
"Percent_TreeCover_AVHRR_VCF5KYR",1.26813389363365,0.0473545613148529,"RF",1.26813389363365,"Percent_TreeCover_AVHRR_VCF5KYR"
"PHIHOX_M_sl1_250m_ll_SoilGrids",0.0261251833294569,0.00317741131099729,"GBM",1.0178605595312,"PHIHOX_M_sl1_250m_ll_SoilGrids"
"PHIHOX_M_sl1_250m_ll_SoilGrids",1.0178605595312,0.0480110979446928,"RF",1.0178605595312,"PHIHOX_M_sl1_250m_ll_SoilGrids"
"PHIHOX_M_sl1_250m_ll_SoilGrids",0,0,"SVM",1.0178605595312,"PHIHOX_M_sl1_250m_ll_SoilGrids"
"ppt_TerraClimate_averages",0,0,"GBM",0.69055761435437,"ppt_TerraClimate_averages"
